model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
LightGBM,gfc,US,momentum,expanding,Lehman Crisis,0.9249714208378877,0.6172679415715067,0.04071231342388148,0.3270596875876894,0.016072240820248027,14
LightGBM,gfc,US,momentum,expanding,Recovery,0.2844217603944841,0.19998070093583067,0.013958571401260297,0.18078187627497191,0.016072240820248027,14
XGBoost,gfc,US,momentum,static,Full Test,0.5472263019498061,0.3027391447580649,0.026794857441585457,0.3385408441934854,0.016650789480584748,14
XGBoost,gfc,US,momentum,static,Pre-Lehman,0.2666334324579995,0.1744119930581737,0.019551818716727155,0.23917192252546265,0.016650789480584748,14
XGBoost,gfc,US,momentum,static,Lehman Crisis,0.9881265207136913,0.6695718072446126,0.05077570802387318,0.3493906340035676,0.016650789480584748,14
XGBoost,gfc,US,momentum,static,Recovery,0.30312619110895617,0.2064474501666088,0.016445831057340113,0.19267063638435156,0.016650789480584748,14
XGBoost,gfc,US,momentum,expanding,Full Test,0.43875162314819816,0.2551056596856297,0.019520255523007752,0.2714331243995601,0.016650789480584748,14
XGBoost,gfc,US,momentum,expanding,Pre-Lehman,0.2567795239114744,0.16679369965899415,0.01834360787039125,0.23033290249059238,0.016650789480584748,14
XGBoost,gfc,US,momentum,expanding,Lehman Crisis,0.7610855476488141,0.5146632841545609,0.027805960718310527,0.2691114512662904,0.016650789480584748,14
XGBoost,gfc,US,momentum,expanding,Recovery,0.2451781869168374,0.17817278157645605,0.011254088801184472,0.15583819111113703,0.016650789480584748,14
Ridge,gfc,KR,momentum,static,Full Test,0.3442518946771644,0.2060839800874816,0.014322053815439143,0.23424067619846312,0.016229381927514,14
Ridge,gfc,KR,momentum,static,Pre-Lehman,0.19540677406209558,0.14934384381908108,0.014172821773187677,0.1710153024614115,0.016229381927514,14
Ridge,gfc,KR,momentum,static,Lehman Crisis,0.5778192917661724,0.36639349072158045,0.01668805558629233,0.24813496728013132,0.016229381927514,14
Ridge,gfc,KR,momentum,static,Recovery,0.2774238129661244,0.1646716703248126,0.011345186348670114,0.20909738549982723,0.016229381927514,14
Ridge,gfc,KR,momentum,expanding,Full Test,0.32818378723336356,0.19879655063604912,0.013941000215227966,0.22330739039506872,0.016229381927514,14
Ridge,gfc,KR,momentum,expanding,Pre-Lehman,0.19382771434877258,0.14837104410043853,0.01390064820745614,0.16963334743055494,0.016229381927514,14
Ridge,gfc,KR,momentum,expanding,Lehman Crisis,0.5318220796231684,0.34012008166806945,0.015478772809545238,0.22838222296591018,0.016229381927514,14
Ridge,gfc,KR,momentum,expanding,Recovery,0.30079586495797395,0.16368202107998048,0.01181149566532563,0.2267131586845845,0.016229381927514,14
ElasticNet,gfc,KR,momentum,static,Full Test,0.33292913244382094,0.20651139264108684,0.01460354867148643,0.22653628437671283,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,static,Pre-Lehman,0.19871680573184852,0.1513702675058014,0.014507460694994713,0.17391216245962102,0.016004304152393324,14
