model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
XGBoost,911,KR,extended,0.018656403817225792,,,,326.0,0.02754654265560155,3.0,,,0.8668015279562771,0.8251648303011131,0.06558857812874454,0.004018777553223988,2.070269926838239,0.023447234513702918
Ridge,911,JP,core,0.011433712818265445,21.42302175774105,,,,,,,,,,,,,
ElasticNet,911,JP,core,0.011834303761264472,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,911,JP,core,0.01198200766923033,0.009846738873614562,,1.7587945476302647,,,,,,,,,,,
LightGBM,911,JP,core,0.012850889091211204,,,,539.0,0.02247160591119136,7.0,86.0,21.0,0.6013887421655459,0.9481505080818613,1.8580546803490077,0.00010878707215926607,,
XGBoost,911,JP,core,0.01373561625959977,,,,319.0,0.024489896786757722,3.0,,,0.9548222776947173,0.781288015403425,0.14905225131493066,0.01800487733660591,3.5009499424968418,0.1352741096794205
Ridge,911,JP,momentum,0.010655758074223014,21.42302175774105,,,,,,,,,,,,,
ElasticNet,911,JP,momentum,0.0110958255092807,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,911,JP,momentum,0.01167224709033126,0.034702669886504146,,1.641003510568888,,,,,,,,,,,
LightGBM,911,JP,momentum,0.012021972745930736,,,,663.0,0.010257328023182891,7.0,38.0,18.0,0.7563061617541772,0.7852285465531528,1.4339472310960755,0.00026017374215308995,,
XGBoost,911,JP,momentum,0.012368440369732293,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,911,JP,extended,0.01214472244843384,56.69849511478853,,,,,,,,,,,,,
ElasticNet,911,JP,extended,0.011296682470111367,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,911,JP,extended,0.014920670831461577,1.5618020905061992e-05,,1.9918356423396688,,,,,,,,,,,
LightGBM,911,JP,extended,0.012496105623431968,,,,610.0,0.008292401258507463,7.0,55.0,21.0,0.6992638525333938,0.9100657839217557,0.6387112930574299,0.011493895225122109,,
XGBoost,911,JP,extended,0.01244676348668712,,,,327.0,0.029479518939779233,4.0,,,0.8430608320517355,0.8346517793621354,0.02083522902568783,0.025963768032010084,1.0915609904525576,0.12653309151670836
Ridge,gfc,US,core,0.018962390980001357,0.0012666337284957846,,,,,,,,,,,,,
ElasticNet,gfc,US,core,0.01866372053760934,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,US,core,0.01796874533923661,0.00929280682999987,,1.6866798957003608,,,,,,,,,,,
LightGBM,gfc,US,core,0.01670520173624681,,,,1048.0,0.02888384219437421,4.0,222.0,28.0,0.8353707957410127,0.9334765894439173,0.16361656563169566,0.00793245008894475,,
XGBoost,gfc,US,core,0.016715846381907765,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,gfc,US,momentum,0.018994188782156127,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,gfc,US,momentum,0.018073876409972427,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,US,momentum,0.017979229976637104,0.006009603428752596,,1.7153913978871307,,,,,,,,,,,
