ensemble_method,models,n_models,regime,country,feature_set,protocol,member_Ls,phase,RMSE,MAE,QLIKE,RMSE_CV,n_obs
equal_weight,1DCNN+TST,2,911,JP,extended,static,1DCNN:L60|TST:L60,Shock,0.31141884005439024,0.24999360892857142,0.0160854163140761,0.1799694927631454,28
equal_weight,1DCNN+TST,2,911,JP,extended,static,1DCNN:L60|TST:L60,Recovery,0.2320314227510086,0.1904043546666667,0.017156429820935053,0.18160863979124786,105
equal_weight,TCN+TST,2,911,JP,extended,static,TCN:L22|TST:L60,Full Test,0.2550129062007636,0.2058908484962406,0.017347835550908196,0.18573928036534487,133
equal_weight,TCN+TST,2,911,JP,extended,static,TCN:L22|TST:L60,Shock,0.32737760440265806,0.2735801732142857,0.017917411880912608,0.18919209061362452,28
equal_weight,TCN+TST,2,911,JP,extended,static,TCN:L22|TST:L60,Recovery,0.23193327787570522,0.1878403619047619,0.017195948529573686,0.1815318227933818,105
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22,Full Test,0.25024651466592623,0.20170755949874686,0.0168147941562219,0.18226766731324628,133
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22,Shock,0.3163551474711474,0.2599151095238095,0.016297724805239628,0.18282219345961442,28
equal_weight,LSTM+1DCNN+TCN,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22,Recovery,0.22942256887244306,0.18618554615873018,0.016952679316483837,0.1795667163367301,105
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TST:L60,Full Test,0.23641805220736928,0.1932761940350877,0.015163143358401713,0.17219567251158135,133
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TST:L60,Shock,0.2911377021677743,0.23100653452380956,0.013775541979816508,0.16824898767913632,28
equal_weight,LSTM+1DCNN+TST,3,911,JP,extended,static,LSTM:L22|1DCNN:L60|TST:L60,Recovery,0.21953462388833256,0.1832147699047619,0.015533170392691104,0.17182752214654495,105
