"model","regime","country","feature_set","L","protocol","phase","RMSE","MAE","QLIKE","RMSE_CV","tuning_val_qlike","tuning_val_mse","tuning_best_epoch","final_epochs","n_features","is_best_L","best_val_loss","epochs_used","n_refits","source_branch","source_file"
"LSTM","gfc","US","momentum","60","static","Full Test","0.5053248673204763","0.2899195880746743","0.0259189267016749","0.3126185767866978","0.0164144785371729","0.0132413460943565","73.0","73.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","US","momentum","60","static","Lehman Crisis","0.8960952333304697","0.5955284794171651","0.0434631066332369","0.31684938716183","0.0164144785371729","0.0132413460943565","73.0","73.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","US","momentum","60","static","Pre-Lehman","0.2636268818436631","0.180024270771249","0.0209718703209787","0.236475028049738","0.0164144785371729","0.0132413460943565","73.0","73.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","US","momentum","60","static","Recovery","0.3022612972537722","0.2202609360218048","0.0171028687510446","0.1921208997767153","0.0164144785371729","0.0132413460943565","73.0","73.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","KR","momentum","22","static","Full Test","0.4327705754070486","0.2203569749319024","0.0166316270630813","0.2944717917434634","0.0155524183729345","0.0179163087760248","10.0","10.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","KR","momentum","22","static","Lehman Crisis","0.7724369816344748","0.4346220149832256","0.0275233393057353","0.3317103259319828","0.0155524183729345","0.0179163087760248","10.0","10.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","KR","momentum","22","static","Pre-Lehman","0.183475154625374","0.1416914030638608","0.0126583150549254","0.1605730362108934","0.0155524183729345","0.0179163087760248","10.0","10.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","KR","momentum","22","static","Recovery","0.3340141270033807","0.1747289441525936","0.0142246115332026","0.2517501289644143","0.0155524183729345","0.0179163087760248","10.0","10.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","JP","momentum","22","static","Full Test","0.3569540341331564","0.2170996798409356","0.0192801049432073","0.2625511279684168","0.0126719229705882","0.0149622199084112","99.0","99.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","JP","momentum","22","static","Lehman Crisis","0.6253892980817783","0.4071600614932545","0.029161980757191","0.2939771811071155","0.0126719229705882","0.0149622199084112","99.0","99.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
