model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Ridge,gfc,US,core,expanding,Full Test,0.3867945477588868,0.24645869507164558,0.018381065140777607,0.2392899468851587,0.018962390980001357,10
Ridge,gfc,US,core,expanding,Pre-Lehman,0.24722528374654973,0.16710812947284934,0.017677184893533503,0.22176268694241658,0.018962390980001357,10
Ridge,gfc,US,core,expanding,Lehman Crisis,0.6427695080286931,0.469179298221633,0.02401070866379765,0.2272762052435363,0.018962390980001357,10
Ridge,gfc,US,core,expanding,Recovery,0.2594770552348269,0.19308041615240612,0.012426576230873551,0.16492672301372285,0.018962390980001357,10
ElasticNet,gfc,US,core,static,Full Test,0.41120886757570707,0.2565355574133552,0.01982528715684028,0.2543938342746106,0.01866372053760934,10
ElasticNet,gfc,US,core,static,Pre-Lehman,0.25879063919821743,0.17493576807191383,0.018834424210136258,0.23213688597877122,0.01866372053760934,10
ElasticNet,gfc,US,core,static,Lehman Crisis,0.6943647890012941,0.5014221361738513,0.02829340329616541,0.24551972725485627,0.01866372053760934,10
ElasticNet,gfc,US,core,static,Recovery,0.24651192510878375,0.17786494406795988,0.010628290621818078,0.1566859310747222,0.01866372053760934,10
ElasticNet,gfc,US,core,expanding,Full Test,0.4080186462020531,0.25459951465241343,0.019094566866456424,0.2524202079464302,0.01866372053760934,10
ElasticNet,gfc,US,core,expanding,Pre-Lehman,0.25653156201648936,0.17350307879774052,0.018600795658920772,0.2301104790585797,0.01866372053760934,10
ElasticNet,gfc,US,core,expanding,Lehman Crisis,0.6891891024987873,0.4977581125128253,0.026233512872775953,0.24368966161993288,0.01866372053760934,10
ElasticNet,gfc,US,core,expanding,Recovery,0.24463947208027143,0.176740259697701,0.01013286350363449,0.15549577751100851,0.01866372053760934,10
Huber,gfc,US,core,static,Full Test,0.41582308071257873,0.2529161644711487,0.020145898968643584,0.2572484112660296,0.01796874533923661,10
