source_branch,regime,country,feature_set,L,val_qlike,val_mse,val_rmse,val_rmse_cv,best_epoch,epochs_used,is_best_L
LSTM_HS,covid,KR,core,252,0.012809937962575988,0.010120061328824686,0.10059851521254874,0.16788082083933115,27,37,False
LSTM_HS,covid,KR,momentum,22,0.014273738660307551,0.01106541628132061,0.10519228157063179,0.1755469903181714,6,16,False
LSTM_HS,covid,KR,momentum,60,0.014765262009406914,0.011246904415287534,0.10605142129147367,0.17698073992417568,6,16,False
LSTM_HS,covid,KR,momentum,252,0.014098773754905765,0.010904114050980733,0.10442276460035593,0.17426280495671992,7,17,True
LSTM_HS,covid,KR,extended,22,0.012785879922770329,0.010058330048863985,0.1002912254489795,0.1673680095156796,18,28,True
LSTM_HS,covid,KR,extended,60,0.014014560821958061,0.010794940541441343,0.10389870328001141,0.17338824090929145,7,17,False
LSTM_HS,covid,KR,extended,252,0.013403314218703034,0.010686028592896704,0.10337325016775353,0.17251135421158967,5,15,False
LSTM_HS,covid,JP,core,22,0.017626990280552084,0.010658909254960684,0.10324199319926622,0.19846992152263562,26,36,False
LSTM_HS,covid,JP,core,60,0.01706426149828087,0.01043919313730181,0.10217237013743731,0.1964137039065126,25,35,True
LSTM_HS,covid,JP,core,252,0.017169479614554086,0.010363006886390962,0.1017988544672557,0.19569566637690644,18,28,False
LSTM_HS,covid,JP,momentum,22,0.018441423483333736,0.010579630584459923,0.10285733346897645,0.1977304609202412,16,26,False
LSTM_HS,covid,JP,momentum,60,0.018149053760296463,0.01072233507729225,0.10354870701482986,0.19905954077560117,22,32,True
LSTM_HS,covid,JP,momentum,252,0.018425701790059937,0.010870738708994753,0.10426283676927933,0.2004323666183666,20,30,False
LSTM_HS,covid,JP,extended,22,0.020969725946957573,0.012521296279762081,0.11189859725423307,0.21511116869543828,20,30,False
LSTM_HS,covid,JP,extended,60,0.02105478168148555,0.012254026100803245,0.11069790498500541,0.21280298679133164,19,29,False
LSTM_HS,covid,JP,extended,252,0.019477033061009636,0.011746161578371186,0.10837971076917263,0.20834654605599498,10,20,True
TST_JH,normal,US,core,22,0.028788858297241038,0.02959677861569074,0.17203714399926653,0.26743672968365284,26,36,True
TST_JH,normal,US,core,60,0.030503250018980015,0.03103414287223764,0.17616510159124005,0.2738537594773752,22,32,False
TST_JH,normal,US,core,252,0.030225807677649992,0.030514027956475617,0.17468264873398454,0.2715492435174015,33,43,False
TST_JH,normal,US,momentum,22,0.030929474710528017,0.03177849561520834,0.1782652386572387,0.2771184834536143,10,20,False
TST_JH,normal,US,momentum,60,0.0299243147939983,0.030776463161874195,0.17543221975897969,0.2727144734144474,6,16,True
TST_JH,normal,US,momentum,252,0.0317244633145625,0.03200978209290344,0.17891277587581866,0.27812509883945336,7,17,False
TST_JH,normal,US,extended,22,0.0301957989737243,0.030475759035778847,0.17457307529724891,0.27137890843220097,23,33,True
