model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
TCN,911,KR,momentum,60,static,Full Test,0.7339055226683641,0.44135095485869574,0.047835394872657346,0.5200411056633326,0.023500238,0.056615475565195084,3,3,14,TRUE,0.019802600595462967,14,7
TCN,911,KR,momentum,60,static,Shock,1.452407645371622,0.9639509982532926,0.11142146207294822,1.0604602152130396,0.023500238,0.056615475565195084,3,3,14,TRUE,0.019802600595462967,14,7
TCN,911,KR,momentum,60,static,Recovery,0.3866556187489981,0.31189956796278645,0.032084717676255016,0.27199374665416987,0.023500238,0.056615475565195084,3,3,14,TRUE,0.019802600595462967,14,7
TCN,911,JP,momentum,22,static,Full Test,0.31366021459728227,0.2458008711499379,0.028029073853404966,0.22845519233832037,0.025267620662647063,0.060584515,5,5,14,TRUE,0.013355760651838244,22,7
TCN,911,JP,momentum,22,static,Shock,0.40463172415884846,0.30144778319767546,0.026860214,0.23383738264781098,0.025267620662647063,0.060584515,5,5,14,TRUE,0.013355760651838244,22,7
TCN,911,JP,momentum,22,static,Recovery,0.2845305543545954,0.23096169460387456,0.02834077,0.22269917693959249,0.025267620662647063,0.060584515,5,5,14,TRUE,0.013355760651838244,22,7
TCN,gfc,US,momentum,60,static,Full Test,0.6383575406990376,0.3393343460609207,0.028480583,0.39491906842539665,0.017877644,0.013151091167265438,39,39,14,TRUE,0.025634781384450158,21,25
TCN,gfc,US,momentum,60,static,Pre-Lehman,0.2678731221001984,0.18121610882004244,0.022859123,0.2402839331839481,0.017877644,0.013151091167265438,39,39,14,TRUE,0.025634781384450158,21,25
TCN,gfc,US,momentum,60,static,Lehman Crisis,1.1782222399621927,0.773368224,0.046013874,0.4166063837712476,0.017877644,0.013151091167265438,39,39,14,TRUE,0.025634781384450158,21,25
TCN,gfc,US,momentum,60,static,Recovery,0.35232798334372983,0.24762679412961006,0.022066562865609436,0.2239438849482678,0.017877644,0.013151091167265438,39,39,14,TRUE,0.025634781384450158,21,25
TCN,gfc,KR,momentum,22,static,Full Test,0.6365465214801407,0.2814733477399919,0.018026835702012477,0.4331278634921562,0.012523677096946626,0.014363020778663697,5,5,14,TRUE,0.014774560488021206,35,24
TCN,gfc,KR,momentum,22,static,Pre-Lehman,0.20199844075198467,0.1519540239464153,0.015106572,0.17678417008363004,0.012523677096946626,0.014363020778663697,5,5,14,TRUE,0.014774560488021206,35,24
TCN,gfc,KR,momentum,22,static,Lehman Crisis,1.2201873052237409,0.6545047133655871,0.029202095,0.5239893199538265,0.012523677096946626,0.014363020778663697,5,5,14,TRUE,0.014774560488021206,35,24
TCN,gfc,KR,momentum,22,static,Recovery,0.24365722280357952,0.17647475898265838,0.011581735835462525,0.18364713437192828,0.012523677096946626,0.014363020778663697,5,5,14,TRUE,0.014774560488021206,35,24
TCN,gfc,JP,momentum,22,static,Full Test,0.4154751453073369,0.2389454912298765,0.021873290353302093,0.3055952800987009,0.013109912237031526,0.014765326717966482,8,8,14,TRUE,0.017267017104160155,36,24
