model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
HAR_RV,gfc,KR,expanding,Recovery,0.47602623252597825,0.22084122997254313,0.039530631317952605,0.358786218047796
GARCH,gfc,JP,static,Full Test,0.7242564231409987,0.534342550746477,0.07525597757146388,0.5327138030941262
GARCH,gfc,JP,static,Pre-Lehman,0.4529220630677179,0.383398246699,0.0683036870525893,0.4207251331338775
GARCH,gfc,JP,static,Lehman Crisis,1.1944328331524925,0.9152296050634274,0.09031861360899987,0.5614678702297975
GARCH,gfc,JP,static,Recovery,0.5813606480362385,0.5134392783960718,0.07796563946041388,0.46844986105575853
GARCH,gfc,JP,expanding,Full Test,0.7450966462628438,0.5396395717815723,0.07457959092505252,0.5480424548835311
GARCH,gfc,JP,expanding,Pre-Lehman,0.4574381861705579,0.3873703779472249,0.06914392467073079,0.42492021800305346
GARCH,gfc,JP,expanding,Lehman Crisis,1.2363991968006103,0.9232526544564092,0.08600731380595114,0.5811950278939151
GARCH,gfc,JP,expanding,Recovery,0.5985596720818506,0.5194665233034271,0.07721490448381467,0.48230852254527745
HAR_RV,gfc,JP,static,Full Test,0.4243869526043426,0.2755021727913151,0.03351071959278486,0.3121502002356053
HAR_RV,gfc,JP,static,Pre-Lehman,0.29156579708385183,0.21673586249760016,0.033139371745877125,0.2708392211333896
HAR_RV,gfc,JP,static,Lehman Crisis,0.7007697645016265,0.46592930221722945,0.04346782063531533,0.3294113291893511
HAR_RV,gfc,JP,static,Recovery,0.24857891122900833,0.20497717534722212,0.02010492523882344,0.20030037605737994
HAR_RV,gfc,JP,expanding,Full Test,0.4241222767642818,0.276163066942631,0.033407309993075555,0.3119555226755025
HAR_RV,gfc,JP,expanding,Pre-Lehman,0.2915418118097706,0.21669126414806505,0.03312434414659101,0.27081694090362396
HAR_RV,gfc,JP,expanding,Lehman Crisis,0.6992449758531756,0.4673828644907999,0.04281044444798178,0.32869457073191927
HAR_RV,gfc,JP,expanding,Recovery,0.25226437237131677,0.20700244945696206,0.02050372832576271,0.20327005377098598
GARCH,covid,US,static,Full Test,0.9521985846327857,0.6633578812781071,0.13204599197421107,0.8305373900244495
GARCH,covid,US,static,Pre-crash,0.3219957262671262,0.28657089739919434,0.13150002318430348,0.6684287206319753
GARCH,covid,US,static,Crash,1.3269307777626007,1.0909884373524013,0.0750318389671863,0.3694311310522576
GARCH,covid,US,static,Recovery,0.9796169455345733,0.6852709164770748,0.13838144052001464,0.9794139834417926
GARCH,covid,US,expanding,Full Test,0.9529047539728934,0.6613009880739135,0.13030769099752848,0.8311533330116726
GARCH,covid,US,expanding,Pre-crash,0.322327823996166,0.2868230203887221,0.1316089320644585,0.6691181200309062
GARCH,covid,US,expanding,Crash,1.361442702412464,1.1177188882513118,0.07504063138195742,0.37903960466056996
GARCH,covid,US,expanding,Recovery,0.9752949041467267,0.6796444931012902,0.13611532024015577,0.9750928375167789
HAR_RV,covid,US,static,Full Test,0.5477766282423414,0.3199584140483477,0.06271354535158682,0.47778790945403254
HAR_RV,covid,US,static,Pre-crash,0.15877768395809103,0.11306250548875543,0.05213962910109528,0.3296055055866444
HAR_RV,covid,US,static,Crash,1.4796445376007925,1.041879397543498,0.14698364283947848,0.4119482072778869
HAR_RV,covid,US,static,Recovery,0.37884157776428096,0.278713706476408,0.05542404025534453,0.3787630874116938
HAR_RV,covid,US,expanding,Full Test,0.5426589194715493,0.3171873566882433,0.06218514294445779,0.4733240837836362
HAR_RV,covid,US,expanding,Pre-crash,0.15880527232443845,0.11308846669183666,0.05216130901073224,0.3296627760872058
HAR_RV,covid,US,expanding,Crash,1.4634597239842888,1.0431030693187184,0.14444464362973072,0.4074421892546282
HAR_RV,covid,US,expanding,Recovery,0.3761928781971725,0.27499585244154673,0.055015271451174776,0.37611493661582673
