model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
ElasticNet,gfc,KR,extended,expanding,Lehman Crisis,0.5119079860471101,0.3367644964081386,0.016280436677432893,0.2198304438399402,0.015583082915415276,28
ElasticNet,gfc,KR,extended,expanding,Recovery,0.2921841245695654,0.1593620801834656,0.011047073882159577,0.22022239503828073,0.015583082915415276,28
Huber,gfc,KR,extended,static,Full Test,0.3174675998205233,0.19692358787268,0.014009597985312471,0.21601573267388996,0.014588936532619463,28
Huber,gfc,KR,extended,static,Pre-Lehman,0.18329440107703093,0.13707500703935663,0.011530026308517126,0.16041484534057485,0.014588936532619463,28
Huber,gfc,KR,extended,static,Lehman Crisis,0.5283214768132741,0.36249680337022255,0.0224857632523462,0.22687894681007464,0.014588936532619463,28
Huber,gfc,KR,extended,static,Recovery,0.2621047526681585,0.15843259162835371,0.010030781855421713,0.19755124091197962,0.014588936532619463,28
Huber,gfc,KR,extended,expanding,Full Test,0.3138225893384735,0.1922437591519044,0.01342520496311942,0.21353554379688605,0.014588936532619463,28
Huber,gfc,KR,extended,expanding,Pre-Lehman,0.18206162968013204,0.1365836750365546,0.011384882172572388,0.15933595350420765,0.014588936532619463,28
Huber,gfc,KR,extended,expanding,Lehman Crisis,0.5156348741869832,0.34699905983166235,0.020579476863047487,0.22143089449955292,0.014588936532619463,28
Huber,gfc,KR,extended,expanding,Recovery,0.27600257627968366,0.1553112297957761,0.00988626350323094,0.20802618374488818,0.014588936532619463,28
LightGBM,gfc,KR,extended,static,Full Test,0.4368797979943348,0.2240943837477788,0.017617569177391375,0.2972678462542947,0.021123003189434275,28
LightGBM,gfc,KR,extended,static,Pre-Lehman,0.18649059980774982,0.14248992661529325,0.012742490802306905,0.16321208149210648,0.021123003189434275,28
LightGBM,gfc,KR,extended,static,Lehman Crisis,0.7865489074264471,0.45107219871730897,0.03255676871393141,0.33777045901656144,0.021123003189434275,28
LightGBM,gfc,KR,extended,static,Recovery,0.31049786331237433,0.16981742806064085,0.012340331775347707,0.23402566177629447,0.021123003189434275,28
LightGBM,gfc,KR,extended,expanding,Full Test,0.36220246777204945,0.2103854773363398,0.013785303088969553,0.24645485553896898,0.021123003189434275,28
LightGBM,gfc,KR,extended,expanding,Pre-Lehman,0.1852095079271793,0.14213341674491195,0.012163184781505153,0.1620909007321856,0.021123003189434275,28
LightGBM,gfc,KR,extended,expanding,Lehman Crisis,0.6346688879041565,0.40865962531213273,0.020645762138401434,0.27254808895779215,0.021123003189434275,28
LightGBM,gfc,KR,extended,expanding,Recovery,0.25221567909879605,0.15254756735507838,0.009242157672966402,0.19009773716887582,0.021123003189434275,28
XGBoost,gfc,KR,extended,static,Full Test,0.395796154665013,0.2061641639806224,0.014891533116355679,0.2693131405781456,0.020789254123449542,28
XGBoost,gfc,KR,extended,static,Pre-Lehman,0.18069994457974203,0.13626493130142822,0.011478912310378547,0.15814423949931652,0.020789254123449542,28
XGBoost,gfc,KR,extended,static,Lehman Crisis,0.701179577125436,0.3957439051830558,0.025210083406438148,0.3011100077598728,0.020789254123449542,28
XGBoost,gfc,KR,extended,static,Recovery,0.2979757616375956,0.1668126580417629,0.011402555459030433,0.22458761572983282,0.020789254123449542,28
XGBoost,gfc,KR,extended,expanding,Full Test,0.3407672894329516,0.1974116732277352,0.012685054567034117,0.2318696324909054,0.020789254123449542,28
XGBoost,gfc,KR,extended,expanding,Pre-Lehman,0.17814823923423742,0.1352091921330494,0.011309824273347906,0.15591104843647652,0.020789254123449542,28
