regime,country,tier,model,feature,importance_raw,importance_norm,rank
911,JP,extended,ElasticNet,policy_rate,0.004136905327590817,0.015301377982377323,17
911,JP,extended,ElasticNet,gold_chg,0.00037191521086239466,0.0013756213324115853,20
911,JP,extended,ElasticNet,crb_chg,0.0,0.0,26
911,JP,extended,ElasticNet,wti_chg,0.0,0.0,27
911,JP,extended,ElasticNet,natgas_chg,0.005591122208169841,0.020680162459191007,15
911,JP,extended,ElasticNet,corn_chg,0.004515917860578345,0.016703250533973226,16
911,JP,extended,ElasticNet,epu,0.0,0.0,28
911,JP,extended,ElasticNet,spillover_SP500,0.009377413127532314,0.0346847054498201,10
911,JP,extended,ElasticNet,spillover_KOSPI,0.022572603393445256,0.08349041353831091,4
911,JP,momentum,Ridge,RV_d,0.031710609790738836,0.1331339119149003,3
911,JP,momentum,Ridge,RV_w,0.0890482197355466,0.37386029220773065,2
911,JP,momentum,Ridge,RV_m,0.009216726598629155,0.03869553046198367,9
911,JP,momentum,Ridge,log_return,0.0025712957132029207,0.010795335039211252,11
911,JP,momentum,Ridge,neg_return,0.002180580114404858,0.009154953587784525,12
911,JP,momentum,Ridge,semivariance,0.016687997240263562,0.07006293380300156,7
911,JP,momentum,Ridge,parkinson_rv,0.0004917643157752473,0.002064624664469045,14
911,JP,momentum,Ridge,hl_range,0.2381858185839862,1.0,1
911,JP,momentum,Ridge,weekday_sin,0.028043686512981975,0.11773869107615889,5
911,JP,momentum,Ridge,weekday_cos,0.02256389515775295,0.09473231988325427,6
911,JP,momentum,Ridge,momentum_1w,0.029274317450016313,0.12290537540837664,4
911,JP,momentum,Ridge,momentum_1m,0.000710840967233381,0.0029843966843170087,13
911,JP,momentum,Ridge,momentum_3m,0.0030402871762671827,0.012764350095827194,10
911,JP,momentum,Ridge,momentum_6m,0.012062240797419469,0.0506421451500742,8
covid,JP,core,XGBoost,RV_d,0.06274232268333435,0.15182709989579787,4
covid,JP,core,XGBoost,RV_w,0.08052153885364532,0.19485016174804576,3
covid,JP,core,XGBoost,RV_m,0.02282545529305935,0.05523421086014248,5
covid,JP,core,XGBoost,log_return,0.019429152831435204,0.047015663457619865,7
covid,JP,core,XGBoost,neg_return,0.017814479768276215,0.043108394520564544,8
covid,JP,core,XGBoost,semivariance,0.015873441472649574,0.03841137020574819,9
covid,JP,core,XGBoost,parkinson_rv,0.3318447768688202,0.8030150611708846,2
covid,JP,core,XGBoost,hl_range,0.4132485091686249,1.0,1
covid,JP,core,XGBoost,weekday_sin,0.013862199150025845,0.033544462575107355,10
covid,JP,core,XGBoost,weekday_cos,0.021838096901774406,0.05284495023517056,6
covid,JP,extended,XGBoost,RV_d,0.04858577996492386,0.16943722837991138,4
covid,JP,extended,XGBoost,RV_w,0.10190824419260025,0.35539308944969505,3
covid,JP,extended,XGBoost,RV_m,0.030074216425418854,0.10488031437386357,6
covid,JP,extended,XGBoost,log_return,0.016500653699040413,0.05754410099499411,8
covid,JP,extended,XGBoost,neg_return,0.016248241066932678,0.05666384144532157,9
covid,JP,extended,XGBoost,semivariance,0.014189151115715504,0.04948300592984686,12
covid,JP,extended,XGBoost,parkinson_rv,0.2669827938079834,0.9310712854791764,2
covid,JP,extended,XGBoost,hl_range,0.2867479622364044,1.0,1
covid,JP,extended,XGBoost,weekday_sin,0.010193751193583012,0.0355495157283069,18
covid,JP,extended,XGBoost,weekday_cos,0.012328441254794598,0.04299399779040322,15
covid,JP,extended,XGBoost,momentum_1w,0.014907985925674438,0.05198985830415006,11
covid,JP,extended,XGBoost,momentum_1m,0.032548196613788605,0.11350803109441038,5
covid,JP,extended,XGBoost,momentum_3m,0.018990090116858482,0.06622571950904547,7
covid,JP,extended,XGBoost,momentum_6m,0.008204871788620949,0.028613531285905297,22
covid,JP,extended,XGBoost,fx_level,0.009690380655229092,0.0337940698153594,20
covid,JP,extended,XGBoost,fx_change,0.009578955359756947,0.033405487122031376,21
covid,JP,extended,XGBoost,rate_3y,0.007004078011959791,0.024425903351966628,23
covid,JP,extended,XGBoost,rate_10y,0.005915235728025436,0.0206286931627738,25
covid,JP,extended,XGBoost,rate_spread,0.010876182466745377,0.03792941502328339,16
covid,JP,extended,XGBoost,policy_rate,0.0,0.0,28
covid,JP,extended,XGBoost,gold_chg,0.006940539460629225,0.0242043200812957,24
covid,JP,extended,XGBoost,crb_chg,0.00506931496784091,0.0176786433922819,27
covid,JP,extended,XGBoost,wti_chg,0.012331568636000156,0.043004904166794415,14
covid,JP,extended,XGBoost,natgas_chg,0.010691788978874683,0.037286364288301455,17
covid,JP,extended,XGBoost,corn_chg,0.005679558962583542,0.01980679799182366,26
covid,JP,extended,XGBoost,epu,0.015521117486059666,0.0541280829513395,10
covid,JP,extended,XGBoost,spillover_SP500,0.009815444238483906,0.03423021444313432,19
covid,JP,extended,XGBoost,spillover_KOSPI,0.012475291267037392,0.043506120042632955,13
covid,JP,momentum,XGBoost,RV_d,0.06750094890594482,0.1844250845460909,4
covid,JP,momentum,XGBoost,RV_w,0.10249316692352295,0.2800303000422354,3
covid,JP,momentum,XGBoost,RV_m,0.023232094943523407,0.06347438285811671,5
covid,JP,momentum,XGBoost,log_return,0.01434024702757597,0.03918020877243709,9
covid,JP,momentum,XGBoost,neg_return,0.01946464367210865,0.05318100875722682,7
covid,JP,momentum,XGBoost,semivariance,0.013600029051303864,0.037157796272033014,11
covid,JP,momentum,XGBoost,parkinson_rv,0.36600741744041443,1.0,1
covid,JP,momentum,XGBoost,hl_range,0.30836522579193115,0.842510864802713,2
covid,JP,momentum,XGBoost,weekday_sin,0.012394924648106098,0.03386522801856598,13
covid,JP,momentum,XGBoost,weekday_cos,0.014077072963118553,0.038461168523750706,10
covid,JP,momentum,XGBoost,momentum_1w,0.01306566409766674,0.035697812325876745,12
covid,JP,momentum,XGBoost,momentum_1m,0.020163413137197495,0.05509017625436532,6
covid,JP,momentum,XGBoost,momentum_3m,0.01723393239080906,0.047086292707755634,8
covid,JP,momentum,XGBoost,momentum_6m,0.00806126557290554,0.022024869411882628,14
gfc,JP,core,Ridge,RV_d,0.0942150782828614,0.37543004420761905,3
gfc,JP,core,Ridge,RV_w,0.1304490569798365,0.5198158948798661,2
gfc,JP,core,Ridge,RV_m,0.023037625555967986,0.09180077051943578,4
gfc,JP,core,Ridge,log_return,0.008076841366176604,0.03218475180859889,8
gfc,JP,core,Ridge,neg_return,0.003705018830944672,0.014763829833219496,9
gfc,JP,core,Ridge,semivariance,0.009164209862119509,0.03651771856871968,7
gfc,JP,core,Ridge,parkinson_rv,0.0031213603645226544,0.012438056423648071,10
